,day,latitude_1,longitude_1,latitude_2,longitude_2
2211606,2020-02-25,-33.947250366210945,151.1876818598533,-37.62405395507812,144.8294327106882
2195232,2020-02-25,13.20698547363281,77.7277032260237,24.05526371325477,88.50041803323998
2216794,2020-02-25,24.59573364257812,88.878173828125,22.79849294888771,88.46471150716147
2205483,2020-02-25,52.37530517578125,13.51715087890625,29.41952462923729,-16.47152171415445
2173986,2020-02-25,33.94719527939618,-118.43124389648442,-11.964018223649356,-77.14291221217105
2235676,2020-02-25,50.47607939122086,19.063506255278718,51.520751953125,7.61909278663429
2184201,2020-02-25,29.52442932128906,-98.39091374323921,29.38689151052701,-98.4261366900276
2229990,2020-02-25,38.87274169921875,-77.042760434358,41.78809343758276,-87.74801032487737
2250813,2020-02-25,41.79103088378906,-87.74405739524151,26.278226173530197,-100.1457155667819
2244381,2020-02-25,32.674118041992195,-97.09661865234376,32.17034912109375,-97.19692382812497
2223050,2020-02-25,32.90771484375,-97.05042114257809,39.80145263671875,-104.6608369246773
2182650,2020-02-25,48.99613719875529,2.5624164782072367,32.040939331054695,34.81534423828125
2239027,2020-02-25,34.19387558759269,-118.35525512695308,33.4310302734375,-112.01748046875
2217783,2020-02-25,42.8287353515625,-73.82237633993458,38.79495911679025,-77.031982421875
2264082,2020-02-25,41.98379516601562,-87.89511940696026,44.77578735351562,-89.70173427036829
2234581,2020-02-25,35.21493530273438,-80.44721953722893,40.791165626655186,-73.86589050292969
2260795,2020-02-25,-37.02351379394531,174.74578857421884,-27.37890728449418,153.13187819260818
2265962,2020-02-25,39.04429290254237,-84.6466064453125,40.66145324707031,-74.1844482421875
2213985,2020-02-25,45.73011016845703,5.0833204315929885,52.15301513671875,20.97824096679688
2227908,2020-02-25,38.79112243652344,-9.130474588145377,51.16108703613281,-0.09642729888088296
2245077,2020-02-25,-8.586090087890625,-35.716366525423716,-23.61676025390625,-46.66336059570312
2232884,2020-02-25,40.76909986592955,-73.85078430175781,32.848159790039055,-97.00993652343747
2208934,2020-02-25,47.59927911273503,7.5271136944110575,32.488723754882805,-7.9442138671875
2214443,2020-02-25,50.90192762471862,4.483699798583984,45.485595703125,12.326790945870528
2210628,2020-02-25,47.5081787109375,9.522125244140623,43.650357521186436,7.69317626953125
2216958,2020-02-25,48.1102409362793,16.57632637023926,55.37901306152344,37.92270436006434
2256968,2020-02-25,40.79051389532575,13.74789151278409,40.44131469726562,-3.50335693359375
2183219,2020-02-25,38.51797485351562,-121.4947576108186,38.51322497351696,-121.4881591796875
2228453,2020-02-25,28.54592533434852,77.07146139705883,26.02203369140625,75.49897967644458
2252002,2020-02-25,39.36694646285752,12.21002197265625,41.86161804199219,12.25499933416193
2235381,2020-02-25,33.458816528320305,-111.72980346679691,33.458267211914055,-111.73430786132809
2241749,2020-02-25,33.93783827959481,-118.3989715576172,32.436388953257406,-108.95315364915501
2269058,2020-02-25,33.06209758176642,130.2062054069675,37.31900024414062,126.58645954537901
2220546,2020-02-25,48.6927097126589,9.236827649568257,44.694105245299255,14.747872701505337
2222388,2020-02-25,27.911232123940678,-82.60445814866286,39.7822855286679,-104.660888671875
2216571,2020-02-25,33.57504272460938,130.4582743742028,35.478344933461344,139.82703026304858
2254761,2020-02-25,61.18441772460938,-150.00653948102683,61.843505859375,-152.2113582066127
2188717,2020-02-25,33.312332153320305,-111.65526123046871,34.41406767247086,-113.99316787719731
2237621,2020-02-25,51.46484892247086,-0.456390380859375,46.25183622715836,6.129203796386719
2202353,2020-02-25,-27.39352468716896,153.123532808744,-24.18626403808594,151.2712097167969
2232918,2020-02-25,28.2602342508607,-15.198777142693016,57.63567391088454,12.255160424017141
2199087,2020-02-25,50.40119934082031,30.437188399465466,41.85713195800781,12.2568095814098
2210678,2020-02-25,39.48802883342161,-0.47821044921875,39.54835510253906,2.746761156165082
