,day,latitude_1,longitude_1,latitude_2,longitude_2
207363,2020-04-07,42.2275349245233,-89.10410326580666,43.18571963552701,-88.10400826590401
186762,2020-04-07,50.96064163466631,6.0553741455078125,57.132568359375,2.036504745483398
203490,2020-04-07,50.068561101363876,7.925076871304897,50.04572722871425,8.323943679397171
199496,2020-04-07,28.99319458007812,-98.2778813288762,31.71655169988082,-95.62109985351564
198607,2020-04-07,45.62291549423993,-122.6713485717773,45.41661071777344,-122.4834333147321
179050,2020-04-07,-37.72686767578125,144.90107759516292,-37.97236633300781,145.09935744265292
179638,2020-04-07,37.65957641601562,-122.1271206470246,37.65797424316406,-122.1236728100066
187181,2020-04-07,37.50004577636719,126.4217230614196,61.20689392089844,-150.01850673130582
180755,2020-04-07,47.44734424655721,-122.30797400841352,33.813308715820305,-118.1459076550542
181843,2020-04-07,40.06622314453125,-83.25390625,38.75514221191406,-90.37305748980977
190149,2020-04-07,54.61894226074219,-6.200408935546875,51.87455749511719,0.2192069388724662
184177,2020-04-07,-37.98145876092428,145.1003165867018,-38.07087707519531,145.57422394448142
185353,2020-04-07,25.06786799026748,121.57242684994101,23.26606750488281,119.7404896129261
192052,2020-04-07,47.64349365234375,17.93353271484375,47.6443067647643,17.960040752704327
179875,2020-04-07,-29.81051687466896,117.5151510799632,-31.956528485831598,115.9603009905134
200985,2020-04-07,33.30952272576801,-111.6564069475446,33.322677612304695,-111.6718505859375
203799,2020-04-07,40.5733011536679,-80.24975863370031,40.15644836425781,-76.34893798828125
179757,2020-04-07,37.90177917480469,-121.2555191364694,37.5084228515625,-122.24563273977721
185791,2020-04-07,22.67646789550781,113.7893954190341,23.90597068657309,112.6581098448555
198297,2020-04-07,40.30892944335938,-122.499267578125,39.79545593261719,-123.0330226732337
186213,2020-04-07,-6.3031264482918425,108.3587225552263,45.61951718087924,8.72589111328125
182281,2020-04-07,41.96891784667969,-87.9220234264027,45.63853454589844,8.720615666087081
192466,2020-04-07,28.36784362792969,-81.52859027569113,28.47982115664724,-81.54995188993564
180794,2020-04-07,-27.576149116128192,153.0206944392278,-27.57289123535156,152.9860701650943
182486,2020-04-07,32.73348533501059,-117.1892563177615,33.44084658865201,-112.00157944036992
206497,2020-04-07,33.68789931475106,-112.0795440673828,33.68869070279396,-112.0636940002441
203274,2020-04-07,39.1746391684322,-76.68609619140625,28.82524108886719,-81.15331209622897
184706,2020-04-07,-36.06578063964844,146.9662857055664,-33.915298461914055,151.1678952586894
196264,2020-04-07,52.20108032226562,13.1500244140625,50.73976135253906,8.138567950274494
186046,2020-04-07,13.64576436705508,100.7277157432155,22.30604553222656,113.92847234552559
182198,2020-04-07,35.24020385742188,-80.93387603759766,27.69918823242188,-80.27098457768278
198435,2020-04-07,37.945334224377646,-120.5224675717561,37.11369323730469,-121.5976146941489
194533,2020-04-07,29.95619201660156,-95.33660888671876,25.78193276615466,-80.421010143352
196434,2020-04-07,38.76991401284428,-76.87042236328125,34.01371842723782,-84.55667495727539
186631,2020-04-07,23.21015438791049,111.4145914713542,24.05158608646716,115.73765016951651
206164,2020-04-07,37.53451538085938,123.2978074094083,37.31306173033634,126.5913988196332
175391,2020-04-07,33.933700561523445,-118.41938875159441,50.899378889698106,4.457263946533203
185323,2020-04-07,55.43426513671875,9.329816032858458,54.697998046875,11.45954805261949
193671,2020-04-07,41.88253629005561,-71.06544672056684,41.83827209472656,-71.99634205211294
184910,2020-04-07,63.13903291346664,52.33284583458534,55.982650498212394,37.49041557312012
190733,2020-04-07,23.53322691836599,119.70835367838541,22.57759094238281,120.33280251242901
185460,2020-04-07,-28.186495506157307,153.5033461626838,-27.55017296742585,152.98858055701618
185776,2020-04-07,23.81556701660156,119.29901123046879,22.88545252913136,120.20919799804692
193536,2020-04-07,40.62071228027344,-73.7861328125,42.9479308047537,-78.74359130859375
197752,2020-04-07,26.170737056408896,-81.75079932579628,26.27138299457097,-81.64991525503302
203391,2020-04-07,41.31864903336864,-95.90309143066406,36.68632895259535,-93.71308671667221
203834,2020-04-07,39.67185974121094,-75.60396940811819,41.74777221679688,-73.84522871537644
198915,2020-04-07,43.06338500976562,-78.1419195130814,43.061518265029136,-78.10461861746654
202564,2020-04-07,44.75230407714844,-93.97136143275671,44.80732028767214,-93.45024294969512
193835,2020-04-07,33.93495204085011,-118.4066390991211,61.1697801492982,-150.00773111979169
182548,2020-04-07,39.88851928710938,-104.6951692000679,37.63407897949219,-100.3449720017453
200669,2020-04-07,38.65571594238281,-121.4090164847996,38.65699768066406,-121.4057325280231
197115,2020-04-07,44.30552673339844,-121.0302952357701,47.45870299258474,-122.31790395883421
184215,2020-04-07,13.93690206236758,121.1414216694079,14.5302103333554,121.1867161800987
177720,2020-04-07,61.16789245605469,-150.0372423444475,39.04641723632812,-84.74101190981658
192690,2020-04-07,49.68580627441406,13.976271779913649,49.59573002184854,16.59195358688767
193062,2020-04-07,30.650086483712922,-98.69716186523438,30.26811218261719,-97.68132826861216
186878,2020-04-07,34.93148803710938,-90.27740478515624,33.87039184570312,-100.2343812280772
205970,2020-04-07,41.96942138671875,-87.92558149857956,44.43260192871094,-88.13376290457592
182226,2020-04-07,38.14320373535156,-78.45073943442488,39.10122628939354,-77.54376220703125
185709,2020-04-07,43.42294983944649,5.289263044084821,43.45278982388771,5.273306710379464
196501,2020-04-07,43.57804870605469,-116.51665266170059,43.61892700195312,-117.03090224155159
193670,2020-04-07,34.00640972590043,-117.2127342224121,38.4283447265625,-105.10058859120241
206296,2020-04-07,37.57016973980402,126.7788828974185,36.37399291992188,126.8363571166992
