,day,AAL,UAL,ANA,KLM,AFR,JAL,AXM,EZY,JST,ROU,RYR,TRA,CLX,FDX,GEC,GTI,UPS
0,2019-01-01 00:00:00+00:00,2158,1401,652,421,608,435,540,1337.0,365,96,1520.0,109,22,279,7,23,175
1,2019-01-02 00:00:00+00:00,2661,1592,655,493,656,435,529,1350.0,364,109,1898.0,115,19,529,6,65,340
2,2019-01-03 00:00:00+00:00,2602,1590,673,518,640,454,526,1410.0,361,116,1973.0,116,35,976,13,92,673
3,2019-01-04 00:00:00+00:00,2606,1594,666,501,662,463,528,1530.0,369,113,2097.0,128,27,864,16,99,609
4,2019-01-05 00:00:00+00:00,2504,1550,655,444,647,444,524,1267.0,326,112,2014.0,130,28,509,21,85,214
5,2019-01-06 00:00:00+00:00,2468,1559,646,460,683,460,534,1518.0,370,118,2061.0,132,34,264,23,75,94
6,2019-01-07 00:00:00+00:00,2544,1535,657,458,690,452,493,1297.0,365,113,1996.0,118,34,136,14,94,146
7,2019-01-08 00:00:00+00:00,2445,1410,642,279,686,442,472,908.0,369,101,1744.0,107,18,847,17,88,654
8,2019-01-09 00:00:00+00:00,2282,1369,643,483,682,435,481,824.0,358,90,1677.0,109,23,941,22,106,674
9,2019-01-10 00:00:00+00:00,2420,1369,646,471,668,437,489,984.0,369,101,1665.0,106,45,904,25,80,646
10,2019-01-11 00:00:00+00:00,2533,1439,642,462,669,422,514,1084.0,361,102,1671.0,111,38,796,21,100,547
11,2019-01-12 00:00:00+00:00,2378,1392,637,354,591,433,494,775.0,361,100,1510.0,96,32,490,29,91,219
12,2019-01-13 00:00:00+00:00,2221,1255,637,271,603,442,519,984.0,372,105,1506.0,106,32,244,24,78,98
13,2019-01-14 00:00:00+00:00,2537,1398,636,433,651,425,491,904.0,368,104,1557.0,87,37,134,28,88,130
14,2019-01-15 00:00:00+00:00,2425,1381,621,363,622,421,480,657.0,368,94,1260.0,53,27,820,22,88,626
15,2019-01-16 00:00:00+00:00,2243,1323,601,336,591,393,477,660.0,361,97,1327.0,53,26,951,20,93,650
16,2019-01-17 00:00:00+00:00,2367,1352,588,389,617,385,471,832.0,378,92,1397.0,89,43,904,29,80,626
17,2019-01-18 00:00:00+00:00,2452,1393,590,387,649,392,506,1109.0,348,101,1626.0,89,35,797,25,98,534
